lot_area,utilities,land_slope,overall_qual,overall_cond,year_remod_add,exter_cond,bsmt_cond,total_bsmt_sf,gr_liv_area,bedroom_abvgr,kitchen_qual,garage_area,garage_cond,paved_drive,saleprice,got_mas_vnr,got_bsmt,got_fireplaces,got_pool,got_misc,got_alley,got_fence,full_bath_total,half_bath_total,age,num_of_floors,ms_zoning_C (all),ms_zoning_FV,ms_zoning_I (all),ms_zoning_RH,ms_zoning_RL,ms_zoning_RM,street_Pave,alley_NoAlley,alley_Pave,lot_config_CulDSac,lot_config_FR2,lot_config_FR3,lot_config_Inside,neighborhood_Blueste,neighborhood_BrDale,neighborhood_BrkSide,neighborhood_ClearCr,neighborhood_CollgCr,neighborhood_Crawfor,neighborhood_Edwards,neighborhood_Gilbert,neighborhood_Greens,neighborhood_IDOTRR,neighborhood_MeadowV,neighborhood_Mitchel,neighborhood_NAmes,neighborhood_NPkVill,neighborhood_NWAmes,neighborhood_NoRidge,neighborhood_NridgHt,neighborhood_OldTown,neighborhood_SWISU,neighborhood_Sawyer,neighborhood_SawyerW,neighborhood_Somerst,neighborhood_StoneBr,neighborhood_Timber,neighborhood_Veenker,roof_matl_Tar&Grv,roof_matl_WdShake,roof_matl_WdShngl,foundation_CBlock,foundation_PConc,foundation_Slab,foundation_Stone,foundation_Wood,sale_type_CWD,sale_type_Con,sale_type_ConLD,sale_type_ConLI,sale_type_ConLw,sale_type_New,sale_type_Oth,sale_type_WD 
8197,1,2,5,4,1977,2,3,660.0,1285,3,2,528.0,2,2,143500,1,1,1,0,0,0,1,1.0,1.0,30,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
8640,1,2,6,4,2009,2,3,756.0,1547,3,3,614.0,2,2,215200,0,1,0,0,0,0,0,2.0,1.0,1,3,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
8724,1,2,4,4,1968,2,3,894.0,894,3,2,450.0,2,2,129000,0,1,1,0,0,0,0,1.0,0.0,39,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5664,1,2,7,4,2000,2,3,1501.0,1659,2,4,499.0,2,2,278000,0,1,1,0,0,0,0,3.0,0.0,9,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10573,1,2,5,5,1961,2,3,1453.0,1453,3,2,530.0,2,2,187500,1,1,1,0,0,0,1,3.0,0.0,48,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
8450,1,2,4,7,2009,3,3,894.0,894,3,2,336.0,2,2,138500,0,1,1,0,0,0,1,2.0,0.0,45,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
8064,1,2,4,6,2006,3,3,672.0,924,3,2,576.0,2,2,122900,0,1,1,0,1,0,1,1.0,0.0,58,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9549,1,2,7,4,1996,3,4,1494.0,1494,2,4,481.0,2,2,270000,0,1,1,0,0,0,0,2.0,1.0,11,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10950,1,2,5,5,1952,2,3,948.0,948,2,2,410.0,2,0,125000,0,1,0,0,0,0,0,1.0,0.0,55,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
10637,1,2,7,4,2008,2,3,1705.0,1718,3,3,826.0,2,2,297000,1,1,1,0,0,0,0,3.0,0.0,2,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9000,1,1,5,5,1958,2,3,160.0,1142,2,2,384.0,2,2,113500,1,1,1,0,0,0,0,1.0,0.0,51,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2665,1,2,4,5,1977,2,3,757.0,1475,4,2,336.0,2,2,127000,0,1,1,0,0,0,0,2.0,0.0,29,3,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11751,1,2,5,5,1977,2,3,1844.0,1844,3,2,546.0,2,2,190000,1,1,1,0,0,0,1,2.0,0.0,33,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9600,1,2,6,5,1973,2,3,1242.0,1242,3,2,528.0,2,2,175500,1,1,1,0,0,0,0,1.0,1.0,34,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
8428,1,2,4,6,1994,3,4,990.0,990,3,2,384.0,2,2,146000,0,1,0,0,0,0,0,2.0,0.0,13,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9937,1,2,4,5,1965,2,3,1256.0,1256,3,2,276.0,2,2,147500,0,1,0,0,0,0,0,2.0,1.0,43,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
12150,1,2,4,4,1954,2,3,1050.0,1795,4,2,352.0,2,2,131500,1,1,0,0,0,1,0,2.0,0.0,54,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11200,1,2,4,4,1965,2,3,1040.0,1040,3,2,384.0,2,2,129500,0,1,0,0,0,0,0,2.0,0.0,43,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9670,1,1,7,5,1950,2,2,608.0,1873,4,2,786.0,2,2,257076,1,1,1,0,0,0,0,1.0,1.0,73,3,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10998,1,2,4,4,1960,2,3,984.0,1604,3,2,660.0,2,2,117000,0,1,0,0,0,1,0,2.0,0.0,68,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7200,1,1,6,5,2000,1,3,776.0,1502,3,2,270.0,2,1,149000,0,1,1,0,0,0,1,1.0,1.0,77,3,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9920,1,2,4,4,1954,2,3,1056.0,1063,3,2,280.0,2,2,128000,1,1,0,0,0,0,1,2.0,0.0,56,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2448,1,2,6,4,2004,2,3,764.0,1626,2,3,474.0,2,2,155000,1,1,0,0,0,0,0,2.0,1.0,5,3,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7804,1,2,3,2,1950,2,3,1122.0,1981,4,3,576.0,2,2,135000,0,1,1,0,0,0,1,3.0,0.0,81,2,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16692,1,2,6,4,1978,2,3,1392.0,2784,5,3,564.0,2,2,250000,1,1,1,1,1,0,1,4.0,1.0,28,3,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
10170,1,2,5,5,1951,2,3,216.0,1575,2,3,400.0,2,2,155000,1,1,1,0,0,0,0,1.0,1.0,55,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9364,1,2,5,6,1969,2,3,663.0,1352,4,2,299.0,2,2,158000,1,1,0,0,0,0,1,1.0,1.0,41,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2544,1,2,6,4,2005,2,3,600.0,1200,2,3,480.0,2,2,149500,0,1,0,0,0,1,0,3.0,1.0,6,3,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9888,1,2,4,5,1975,3,3,936.0,936,2,2,240.0,2,2,121000,0,1,0,0,0,0,1,1.0,0.0,52,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7942,1,2,5,6,1953,2,3,1040.0,1040,3,2,293.0,2,2,136000,0,1,0,0,0,0,1,1.0,1.0,54,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
11764,1,2,7,6,2007,2,3,1152.0,2270,4,3,671.0,2,2,290000,1,1,1,0,0,0,0,2.0,1.0,11,3,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9000,1,2,7,4,2007,2,3,1184.0,2610,4,4,550.0,2,2,303477,0,1,1,0,0,0,0,2.0,1.0,0,3,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
7308,1,2,4,4,1950,1,3,936.0,1740,2,4,225.0,1,0,122250,0,1,1,0,0,0,0,1.0,0.0,88,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8750,1,2,4,4,1955,2,3,1382.0,1382,3,3,350.0,2,2,153000,0,1,0,0,0,0,1,1.0,1.0,54,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4000,1,2,6,7,1995,2,3,531.0,1098,2,2,216.0,2,2,148500,0,1,1,0,0,0,1,2.0,0.0,77,3,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3363,1,2,6,4,2004,2,3,976.0,1708,3,3,380.0,2,2,130000,1,1,0,0,0,0,0,2.0,0.0,2,3,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
13615,1,1,8,4,2006,2,3,1802.0,1802,3,4,843.0,2,2,372000,1,1,1,0,0,0,0,2.0,1.0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3013,1,2,6,4,2005,2,3,1362.0,1506,2,3,440.0,2,2,213490,1,1,1,0,0,0,0,2.0,0.0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
17485,1,2,6,4,2010,2,3,1508.0,1508,1,3,572.0,2,2,308030,1,1,1,0,0,0,0,2.0,0.0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
8910,1,2,5,5,1959,2,3,655.0,1194,3,2,539.0,2,2,159500,0,1,1,0,0,0,0,1.0,1.0,47,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2522,1,2,6,4,2004,2,3,970.0,1709,3,3,380.0,2,2,137500,1,1,0,0,0,0,0,2.0,0.0,2,3,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8688,1,2,6,4,2005,2,3,1616.0,1616,3,3,834.0,2,2,232000,1,1,0,0,0,0,0,2.0,0.0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
6324,1,2,3,5,1950,2,3,520.0,520,1,1,240.0,2,2,68500,0,1,0,0,0,0,0,1.0,0.0,81,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11600,1,2,4,4,1960,2,3,1105.0,2274,5,2,480.0,2,2,154300,1,1,0,0,0,0,0,2.0,0.0,50,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4571,1,2,4,6,1950,2,3,616.0,1232,3,2,480.0,1,2,114000,0,1,0,0,0,1,0,1.0,0.0,97,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12665,1,2,4,7,1950,2,3,876.0,1416,4,2,720.0,2,2,153900,0,1,1,0,0,1,0,1.0,1.0,93,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9000,1,2,3,6,2006,3,3,864.0,864,3,2,576.0,2,2,130000,0,1,0,0,0,0,1,1.0,0.0,38,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4500,1,2,5,4,1997,2,3,1189.0,1189,2,2,392.0,2,2,160500,1,1,0,0,0,0,0,3.0,0.0,11,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
6373,1,2,8,4,2006,2,4,1666.0,1666,2,3,575.0,2,2,310090,1,1,1,0,0,0,0,3.0,0.0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
13300,1,2,4,6,2000,2,3,928.0,928,2,2,252.0,2,2,132000,0,1,0,0,0,0,0,1.0,0.0,51,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9600,1,2,4,4,1969,2,3,1288.0,1336,3,2,502.0,2,2,163000,1,1,1,0,1,0,0,2.0,1.0,40,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3215,1,2,6,4,2004,2,3,600.0,1200,2,3,480.0,2,2,155000,1,1,0,0,0,1,0,2.0,1.0,6,3,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
9109,1,2,6,4,1994,2,3,754.0,1540,3,3,495.0,2,2,184000,0,1,0,0,0,0,0,3.0,1.0,15,3,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7018,1,2,4,4,1979,2,0,0.0,1535,4,2,400.0,2,2,118858,0,0,0,0,0,0,1,2.0,0.0,30,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3523,1,2,7,4,2007,2,3,1141.0,1151,2,3,484.0,2,2,166000,1,1,0,0,0,1,0,3.0,0.0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
15312,1,2,5,4,1960,2,3,1138.0,1138,3,2,480.0,2,2,148000,1,1,1,0,0,0,1,1.0,1.0,49,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7450,1,2,4,4,1956,2,3,894.0,1074,2,3,396.0,2,2,124000,0,1,1,0,0,0,1,1.0,0.0,51,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
